37.5 , 106.6 , 110.7 , 28.3 , 48.3 , 58.3 , 37.3 , 81.1 , 39.4 , 107.6 , 106.7 , 87.9
37.3 , 27.6 , 50.2 , 49.3 , 46.8 , 63.5 , 85.8 , 135.1 , 48.6 , 107.4 , 31.1 , 32.9
77.5 , 30.3 , 24.2 , 81.5 , 50.8 , 24.4 , 104.2 , 35.0 , 151.1 , 40.3 , 57.8 , 65.3
116.5 , 65.6 , 106.3 , 63.6 , 9.1 , 24.7 , 55.8 , 71.7 , 41.8 , 23.9 , 51.4 , 121.4
79.2 , 14.3 , 44.8 , 79.6 , 36.1 , 58.8 , 116.9 , 31.8 , 65.7 , 52.9 , 37.1 , 65.3
70.8 , 12.1 , 34.5 , 29.1 , 35.5 , 5.8 , 7.3 , 46.6 , 33.8 , 26.0 , 51.9 , 43.0
86.9 , 62.5 , 51.8 , 82.3 , 27.4 , 34.3 , 92.2 , 84.2 , 47.5 , 24.5 , 40.3 , 81.1
36.6 , 103.4 , 59.3 , 64.5 , 58.9 , 11.0 , 58.8 , 58.9 , 56.6 , 142.5 , 41.4 , 73.1
71.5 , 13.1 , 32.3 , 73.7 , 100.1 , 65.8 , 91.4 , 67.9 , 106.0 , 110.2 , 64.7 , 101.1
76.5 , 96.3 , 18.1 , 62.6 , 76.2 , 1.3 , 98.1 , 77.8 , 70.3 , 91.0 , 67.2 , 76.1
91.6 , 64.3 , 11.1 , 77.9 , 57.3 , 79.2 , 52.1 , 31.5 , 32.5 , 67.6 , 143.8 , 11.1
63.1 , 100.8 , 72.0 , 45.6 , 30.6 , 82.8 , 78.4 , 105.2 , 138.5 , 51.4 , 77.9 , 93.3
112.8 , 47.5 , 50.7 , 40.8 , 44.0 , 59.4 , 58.4 , 68.1 , 20.8 , 137.0 , 75.3 , 77.3
34.0 , 23.1 , 2.0 , 28.8 , 51.3 , 31.2 , 43.3 , 43.1 , 10.4 , 97.8 , 175.6 , 148.8
92.1 , 21.8 , 36.2 , 55.0 , 64.3 , 18.8 , 61.3 , 70.0 , 80.9 , 41.6 , 121.0 , 72.5
47.4 , 47.9 , 12.5 , 87.8 , 73.1 , 52.9 , 82.7 , 101.3 , 58.2 , 16.9 , 96.1 , 22.5
61.3 , 5.9 , 41.9 , 64.5 , 119.9 , 30.4 , 73.2 , 47.7 , 66.6 , 146.4 , 38.7 , 21.4
52.4 , 70.6 , 74.1 , 25.8 , 57.3 , 41.4 , 44.4 , 22.6 , 74.0 , 44.1 , 28.5 , 14.5
52.4 , 4.9 , 61.6 , 54.8 , 16.8 , 35.8 , 38.3 , 54.8 , 51.8 , 46.3 , 70.5 , 176.3
23.4 , 85.2 , 14.8 , 85.9 , 46.7 , 83.1 , 31.2 , 75.0 , 106.3 , 93.5 , 148.2 , 82.8
112.8 , 56.5 , 40.0 , 43.5 , 14.9 , 100.8 , 102.1 , 15.7 , 75.4 , 42.3 , 101.2 , 58.5
124.9 , 124.9 , 85.2 , 66.1 , 74.9 , 44.9 , 38.1 , 49.3 , 54.8 , 72.3 , 43.4 , 100.5
85.9 , 17.9 , 9.9 , 4.2 , 46.9 , 17.1 , 38.3 , 73.9 , 60.5 , 86.6 , 93.6 , 88.2
127.5 , 29.0 , 38.1 , 74.8 , 33.3 , 42.2 , 72.0 , 63.7 , 19.5 , 154.0 , 144.9 , 41.0
72.8 , 64.5 , 78.9 , 43.7 , 38.8 , 17.0 , 77.0 , 1.7 , 34.4 , 89.0 , 203.0 , 46.4
80.7 , 71.0 , 86.1 , 38.6 , 53.0 , 46.4 , 87.5 , 117.3 , 15.4 , 29.4 , 77.9 , 47.0
84.4 , 20.0 , 64.9 , 35.3 , 83.6 , 13.7 , 51.1 , 75.3 , 43.3 , 94.3 , 48.7 , 81.1
130.2 , 35.9 , 15.2 , 28.9 , 64.5 , 40.9 , 48.0 , 42.9 , 47.4 , 81.6 , 41.9 , 50.4
48.1 , 21.7 , 4.6 , 45.0 , 21.2 , 41.9 , 53.2 , 60.5 , 60.8 , 102.9 , 117.0 , 49.4
50.0 , 49.1 , 28.0 , 31.1 , 57.7 , 57.2 , 103.8 , 42.8 , 52.3 , 80.0 , 7.3 , 98.0
54.9 , 70.6 , 33.1 , 53.6 , 82.7 , 76.1 , 48.2 , 114.5 , 85.7 , 33.2 , 126.7 , 70.9
66.8 , 56.8 , 150.7 , 49.4 , 36.0 , 54.7 , 41.5 , 14.3 , 32.7 , 12.5 , 34.4 , 67.4
125.3 , 37.6 , 20.1 , 36.6 , 79.0 , 66.1 , 31.7 , 96.2 , 52.4 , 56.2 , 46.6 , 86.0
27.6 , 28.0 , 35.0 , 39.7 , 51.1 , 14.1 , 23.7 , 40.3 , 35.9 , 189.3 , 76.2 , 44.6
23.2 , 117.3 , 28.0 , 60.7 , 54.5 , 36.4 , 105.5 , 72.2 , 79.2 , 13.4 , 137.9 , 50.7
88.2 , 138.3 , 96.4 , 66.4 , 58.9 , 44.3 , 53.9 , 112.1 , 89.5 , 30.9 , 161.9 , 58.5
59.7 , 18.8 , 81.7 , 46.2 , 56.7 , 35.9 , 14.6 , 86.9 , 93.6 , 87.2 , 99.9 , 68.7
28.4 , 37.4 , 12.1 , 59.0 , 45.6 , 55.9 , 87.5 , 56.3 , 68.3 , 77.9 , 40.9 , 17.8
35.3 , 64.7 , 73.0 , 8.9 , 62.3 , 91.8 , 77.8 , 76.8 , 62.4 , 61.0 , 131.0 , 59.8
79.9 , 46.1 , 31.5 , 10.7 , 110.5 , 68.0 , 16.5 , 27.8 , 51.0 , 77.9 , 42.2 , 79.9
113.7 , 8.9 , 18.1 , 39.1 , 9.1 , 63.0 , 91.3 , 101.7 , 73.4 , 47.0 , 18.3 , 100.0
50.7 , 97.7 , 38.4 , 5.8 , 32.1 , 39.3 , 94.8 , 81.4 , 83.5 , 50.5 , 70.0 , 60.2
90.9 , 70.9 , 38.6 , 26.3 , 64.5 , 101.9 , 54.2 , 85.3 , 107.4 , 73.2 , 61.4 , 90.9
81.1 , 2.4 , 60.8 , 58.6 , 17.6 , 25.5 , 56.0 , 36.2 , 3.0 , 68.8 , 79.5 , 143.4
78.9 , 67.7 , 48.2 , 19.2 , 49.1 , 57.3 , 98.8 , 102.5 , 115.8 , 167.0 , 132.2 , 97.5
98.7 , 64.1 , 2.6 , 75.8 , 34.5 , 30.6 , 41.6 , 41.5 , 75.2 , 86.4 , 56.3 , 102.0
92.2 , 12.5 , 39.1 , 50.3 , 47.0 , 7.5 , 53.7 , 73.4 , 94.0 , 41.7 , 69.7 , 67.7
23.4 , 19.1 , 85.1 , 73.3 , 41.7 , 65.7 , 38.3 , 87.0 , 63.4 , 51.8 , 141.0 , 21.4
17.4 , 24.1 , 97.7 , 79.6 , 66.0 , 90.0 , 31.1 , 34.4 , 19.1 , 45.3 , 51.6 , 65.5
82.9 , 11.6 , 57.1 , 43.8 , 47.8 , 62.4 , 82.1 , 72.4 , 116.2 , 18.0 , 90.4 , 126.9
45.4 , 105.4 , 15.3 , 105.4 , 56.1 , 80.2 , 75.7 , 92.5 , 36.3 , 129.1 , 52.0 , 79.1
57.7 , 69.5 , 45.0 , 54.9 , 108.9 , 45.3 , 47.2 , 50.1 , 74.2 , 126.6 , 55.7 , 66.6
62.6 , 40.0 , 25.7 , 64.2 , 59.8 , 72.9 , 89.3 , 68.4 , 135.5 , 77.8 , 43.6 , 77.1
87.6 , 45.0 , 65.8 , 29.7 , 80.2 , 26.5 , 60.7 , 74.3 , 20.8 , 4.8 , 108.4 , 70.0
90.3 , 58.1 , 51.0 , 67.4 , 23.2 , 31.1 , 54.7 , 62.2 , 66.1 , 23.1 , 186.4 , 40.5
98.4 , 22.4 , 61.1 , 46.0 , 51.8 , 134.4 , 28.4 , 85.5 , 16.0 , 63.6 , 64.1 , 25.3
73.1 , 61.5 , 56.9 , 57.2 , 54.5 , 39.4 , 33.4 , 18.4 , 31.1 , 26.2 , 78.4 , 94.0
26.1 , 20.2 , 14.5 , 48.9 , 76.6 , 71.7 , 50.4 , 35.8 , 59.5 , 38.6 , 29.4 , 45.1
91.8 , 92.5 , 37.6 , 13.1 , 30.4 , 70.6 , 44.2 , 88.1 , 164.7 , 77.1 , 158.5 , 45.8
108.5 , 31.4 , 91.7 , 51.5 , 56.5 , 15.7 , 31.7 , 32.8 , 122.8 , 26.8 , 60.2 , 32.3
18.8 , 25.6 , 17.2 , 10.0 , 26.4 , 14.0 , 29.2 , 12.4 , 123.4 , 141.5 , 120.0 , 87.7
87.6 , 104.9 , 67.7 , 36.3 , 42.9 , 65.8 , 17.8 , 132.8 , 20.3 , 50.9 , 75.6 , 90.7
96.9 , 59.3 , 67.7 , 57.3 , 63.6 , 45.2 , 74.1 , 42.2 , 23.0 , 5.2 , 21.3 , 144.9
80.1 , 65.3 , 109.7 , 70.6 , 104.4 , 44.5 , 31.7 , 56.1 , 21.2 , 79.2 , 60.5 , 122.6
45.9 , 60.0 , 84.2 , 19.1 , 27.7 , 94.0 , 91.5 , 69.5 , 42.5 , 110.1 , 52.9 , 42.8
34.9 , 23.6 , 131.2 , 43.5 , 82.1 , 34.8 , 41.9 , 43.8 , 115.0 , 95.1 , 40.8 , 84.4
44.4 , 33.4 , 80.9 , 22.7 , 52.4 , 95.7 , 28.6 , 49.8 , 64.2 , 143.0 , 100.9 , 87.0
62.5 , 33.3 , 43.1 , 96.2 , 98.5 , 33.3 , 42.7 , 23.8 , 58.9 , 49.0 , 46.5 , 72.1
112.4 , 38.4 , 69.7 , 5.1 , 81.5 , 31.0 , 25.7 , 35.8 , 84.3 , 89.0 , 102.0 , 75.7
58.2 , 32.4 , 48.3 , 38.4 , 58.2 , 89.3 , 52.3 , 89.5 , 17.8 , 25.8 , 51.9 , 103.7
110.1 , 16.0 , 62.3 , 67.9 , 62.0 , 22.0 , 45.0 , 103.8 , 33.9 , 82.5 , 101.4 , 89.6
18.7 , 36.5 , 68.7 , 57.1 , 46.2 , 85.2 , 68.8 , 48.8 , 39.4 , 198.7 , 73.0 , 27.7
143.8 , 39.6 , 75.1 , 35.4 , 49.2 , 33.1 , 85.5 , 43.8 , 45.8 , 68.0 , 24.9 , 17.6
33.2 , 58.8 , 64.4 , 78.6 , 14.3 , 35.7 , 29.1 , 35.7 , 22.9 , 67.3 , 37.9 , 143.8
98.7 , 122.3 , 8.9 , 41.5 , 7.7 , 56.8 , 15.1 , 33.6 , 38.6 , 79.1 , 41.4 , 60.1
86.7 , 39.6 , 51.4 , 57.1 , 14.1 , 102.0 , 85.2 , 13.7 , 56.5 , 40.2 , 67.1 , 20.1
24.9 , 27.7 , 46.3 , 73.8 , 57.5 , 38.6 , 80.1 , 98.6 , 84.1 , 85.1 , 132.8 , 56.4
90.1 , 7.1 , 29.2 , 84.7 , 56.6 , 57.7 , 60.8 , 34.2 , 127.4 , 112.5 , 56.8 , 133.9
115.6 , 62.5 , 52.9 , 66.2 , 88.3 , 29.7 , 24.9 , 65.7 , 90.1 , 100.0 , 58.1 , 99.6
143.1 , 92.4 , 54.1 , 19.5 , 29.7 , 15.9 , 37.1 , 3.4 , 127.8 , 30.3 , 63.2 , 95.3
57.8 , 69.3 , 35.3 , 31.2 , 43.2 , 20.3 , 38.5 , 65.2 , 23.9 , 50.9 , 122.6 , 24.6
15.3 , 82.9 , 13.9 , 11.3 , 50.3 , 100.6 , 36.5 , 78.1 , 13.8 , 69.7 , 90.3 , 75.6
83.7 , 9.1 , 56.5 , 102.1 , 22.6 , 88.6 , 33.2 , 20.8 , 112.9 , 128.1 , 65.8 , 78.4
96.2 , 27.5 , 33.4 , 58.0 , 41.2 , 76.2 , 29.5 , 108.9 , 102.6 , 64.3 , 42.7 , 109.5
22.1 , 80.3 , 20.1 , 144.6 , 109.3 , 20.6 , 47.6 , 47.3 , 86.1 , 185.9 , 146.6 , 110.1
93.1 , 92.9 , 122.4 , 75.7 , 32.2 , 25.8 , 51.5 , 83.4 , 70.1 , 133.0 , 43.0 , 25.2
69.4 , 79.1 , 44.6 , 42.9 , 78.4 , 58.1 , 69.5 , 43.2 , 37.5 , 88.4 , 175.4 , 137.3
80.1 , 27.6 , 25.6 , 35.6 , 45.3 , 49.5 , 46.4 , 16.2 , 11.0 , 52.8 , 142.6 , 74.3
86.3 , 29.7 , 40.5 , 81.8 , 48.7 , 31.1 , 52.0 , 101.8 , 26.7 , 121.0 , 33.4 , 55.9
34.4 , 21.0 , 48.8 , 46.5 , 28.2 , 35.7 , 57.3 , 49.9 , 48.5 , 91.5 , 50.0 , 64.9
24.2 , 52.5 , 52.5 , 42.9 , 97.3 , 19.8 , 29.6 , 72.0 , 62.0 , 100.2 , 85.7 , 89.0
71.9 , 104.5 , 52.7 , 2.3 , 113.5 , 94.3 , 108.2 , 51.0 , 33.7 , 44.4 , 77.8 , 58.4
99.1 , 22.9 , 89.9 , 63.5 , 100.6 , 38.2 , 69.1 , 72.4 , 64.7 , 62.2 , 97.1 , 39.2
88.6 , 70.3 , 38.7 , 37.2 , 35.3 , 35.2 , 78.0 , 33.1 , 28.2 , 60.7 , 177.3 , 107.6
63.5 , 101.5 , 52.0 , 20.2 , 36.6 , 38.6 , 26.8 , 105.8 , 50.4 , 75.6 , 65.4 , 29.3
102.4 , 53.8 , 15.8 , 4.3 , 25.9 , 83.8 , 49.9 , 74.7 , 36.4 , 33.8 , 39.2 , 91.7
49.7 , 19.9 , 27.9 , 130.0 , 41.6 , 131.2 , 101.9 , 42.5 , 54.4 , 122.6 , 90.2 , 138.9
63.6 , 38.5 , 68.6 , 41.1 , 52.9 , 22.5 , 31.8 , 50.6 , 56.2 , 141.1 , 71.5 , 138.6
181.9 , 130.3 , 38.7 , 63.0 , 83.5 , 38.3 , 53.0 , 109.9 , 13.8 , 108.5 , 135.3 , 55.8
93.1 , 56.0 , 26.8 , 22.1 , 62.3 , 27.8 , 68.5 , 104.1 , 63.4 , 54.0 , 75.2 , 70.2
114.1 , 49.1 , 79.7 , 55.6 , 61.3 , 114.4 , 21.6 , 31.0 , 46.4 , 28.7 , 94.9 , 17.4